PHONE,HOURS,SNAP,SIC,NAICS_EXT,SALES_VOL,HDBRCH,NUMBER_EMP,EMPSIZ,FRNCOD,SQFT,SOURCE,STORE_TYPE,POINT_X,POINT_Y,STORE_NAME,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIP,GLOBALID
(303) 572-8243,24 HOURS,YES,541103,44512001,1792.0,2,8.0,B,W,B,ESRI,CSG,-105.03926593,39.74014399,7-ELEVEN,245636.0,1490 N PERRY ST,,DENVER,CO,80204,{35615DB8-CEC9-46BB-8E8D-0F01735D96AF}
(303) 232-1229,24 HOURS,YES,541103,44512001,1792.0,2,8.0,B,W,B,ESRI,CSG,-105.05331668,39.71830041,7-ELEVEN,0.0,95 SHERIDAN BLVD,,LAKEWOOD,CO,80226,{0CDED253-85BF-4EB6-8AD9-506C67D2CFB0}
(303) 233-1660,24 HOURS,YES,541103,44512001,1792.0,2,8.0,B,W,B,ESRI,CSG,-105.05329595,39.72363083,7-ELEVEN,0.0,495 SHERIDAN BLVD,,LAKEWOOD,CO,80226,{D7702A28-B93E-495B-9ED5-6F859DDD950C}
(303) 936-4356,24 HOURS,YES,541103,44512001,2016.0,2,9.0,B,W,B,ESRI,CSG,-105.03251676,39.71829119,7-ELEVEN,76269.0,105 KNOX CT,,DENVER,CO,80219,{087A7258-8C2A-4BBD-A2C0-E12E12318B09}
(303) 595-8114,24 HOURS,YES,541103,44512001,2464.0,2,11.0,C,W,B,ESRI,CSG,-105.04831476,39.74029611,7-ELEVEN,261420.0,4770 W COLFAX AVE,,DENVER,CO,80204,{D36DDD6A-F986-4A14-9F85-ECAB0924D9E0}
(303) 989-1956,24 HOURS,YES,541103,44512001,1344.0,2,6.0,B,W,A,ESRI,CSG,-105.09925066,39.68218763,7-ELEVEN,0.0,9101 W JEWELL AVE,,LAKEWOOD,CO,80232,{0FF2A858-267B-4426-A80C-BCD374F09F48}
(303) 987-2003,24 HOURS,YES,541103,44512001,2240.0,2,10.0,C,W,B,ESRI,CSG,-105.08139079,39.66571564,7-ELEVEN,182441.0,2790 S WADSWORTH BLVD,,DENVER,CO,80227,{5CEDEC23-8DFA-4641-9919-EC3AA71241D0}
(303) 989-1943,24 HOURS,YES,541103,44512001,2464.0,2,11.0,C,W,B,ESRI,CSG,-105.09522635,39.66870263,7-ELEVEN,0.0,2641 S ESTES ST,,LAKEWOOD,CO,80227,{822EC36A-A74E-45B7-8881-16974AF75576}
(303) 936-1412,24 HOURS,YES,541103,44512001,2240.0,2,10.0,C,W,B,ESRI,CSG,-105.0250544,39.70065059,7-ELEVEN,95003.0,890 S FEDERAL BLVD,,DENVER,CO,80219,{70D5AA0D-7763-45A3-89C1-058E99AD572A}
(303) 789-5306,24 HOURS,YES,541103,44512001,1792.0,2,8.0,B,W,B,ESRI,CSG,-105.02531471,39.64247094,7-ELEVEN,0.0,4096 S FEDERAL BLVD,,ENGLEWOOD,CO,80110,{41E22D10-3413-42C5-8F2F-D8083E8943B0}
(303) 979-0650,24 HOURS,YES,541103,44512001,2240.0,2,10.0,C,W,B,ESRI,CSG,-105.08940988,39.59515368,7-ELEVEN,0.0,8250 W COAL MINE AVE,#1,LITTLETON,CO,80123,{486F8CA2-547B-4022-9439-ED0DB75B5ACE}
(303) 282-4144,24 HOURS,YES,541103,44512001,1344.0,2,6.0,B,W,A,ESRI,CSG,-104.77227644,39.78249234,7-ELEVEN,229705.0,4709 TOWER RD,,DENVER,CO,80249,{7D31218B-69ED-4C38-B506-348E4CC71C3A}
(303) 307-4359,24 HOURS,YES,541103,44512001,1120.0,2,5.0,B,W,A,ESRI,CSG,-104.79913586,39.77256057,7-ELEVEN,0.0,3995 LEWISTON ST,#106,AURORA,CO,80011,{3B0BDDDD-4AD3-4EC0-835C-BE6170417F01}
(303) 307-1278,24 HOURS,YES,541103,44512001,2016.0,2,9.0,B,W,B,ESRI,CSG,-104.84691498,39.77866038,7-ELEVEN,12119.0,4500 PEORIA ST,,DENVER,CO,80239,{FA631125-20D7-4CAC-8F93-A22FE5EDA7B1}
(303) 371-0933,24 HOURS,YES,541103,44512001,2464.0,2,11.0,C,W,B,ESRI,CSG,-104.84714649,39.78319031,7-ELEVEN,362701.0,4701 PEORIA ST,#101,DENVER,CO,80239,{C6244816-C15B-4196-B3CA-51CC7348E31A}
(303) 373-1785,24 HOURS,YES,541103,44512001,448.0,2,2.0,A,W,A,ESRI,CSG,-104.84210516,39.78078541,7-ELEVEN,12084.0,12880 ALBROOK DR,,DENVER,CO,80239,{2DDEEEE7-700C-48E5-9926-A20BEE8F551C}
(800) 627-3999,24 HOURS,YES,541103,44512001,2240.0,2,10.0,C,W,B,ESRI,CSG,-104.86904981,39.74745762,7-ELEVEN,0.0,10201 MONTVIEW BLVD,,AURORA,CO,80010,{4853A472-CA44-400D-AE6E-67ABC07EAE57}
(303) 363-7333,24 HOURS,YES,541103,44512001,1568.0,2,7.0,B,W,B,ESRI,CSG,-104.8470267,39.74546044,7-ELEVEN,0.0,1795 PEORIA ST,,AURORA,CO,80010,{375742DE-D65C-4E3E-AE06-8CC5ACACE523}
(303) 322-0825,24 HOURS,YES,541103,44512001,2912.0,2,13.0,C,W,B,ESRI,CSG,-104.94096209,39.76563264,7-ELEVEN,37441.0,3990 E 35TH AVE,,DENVER,CO,80205,{BA003934-5748-4B14-9E91-59C82002C4E8}
(303) 288-1107,24 HOURS,YES,541103,44512001,1568.0,2,7.0,B,W,B,ESRI,CSG,-104.9788812,39.81269732,7-ELEVEN,0.0,650 E 64TH AVE,,DENVER,CO,80229,{DE7EDF9A-7362-4A30-BC8A-CC787C8AF39F}
(303) 830-2516,24 HOURS,YES,541103,44512001,2240.0,2,10.0,C,W,B,ESRI,CSG,-104.973365,39.74496863,7-ELEVEN,57346.0,1800 DOWNING ST,,DENVER,CO,80218,{F5F2046A-7C7B-4C1F-BB96-18CC453580F1}
(303) 292-6024,24 HOURS,YES,541103,44512001,2016.0,2,9.0,B,W,B,ESRI,CSG,-104.9785169,39.78216178,7-ELEVEN,35343.0,4708 WASHINGTON ST,,DENVER,CO,80216,{524BF059-01F2-449A-837D-B499D9E6A0DC}
(303) 455-4310,24 HOURS,YES,541103,44512001,2912.0,2,13.0,C,W,B,ESRI,CSG,-105.00215019,39.76931832,7-ELEVEN,33877.0,1301 W 38TH AVE,,DENVER,CO,80211,{EF7CC7B1-1B43-43CB-9507-1BCF16F2DCE2}
(303) 295-2722,24 HOURS,YES,541103,44512001,1792.0,2,8.0,B,W,B,ESRI,CSG,-104.94966541,39.77885671,7-ELEVEN,187151.0,3200 E 45TH AVE,,DENVER,CO,80216,{1338BDD0-DEA1-481D-BF01-4265E0F5A2ED}
(303) 297-8154,24 HOURS,YES,541103,44512001,1120.0,2,5.0,B,W,A,ESRI,CSG,-104.96731095,39.78188389,7-ELEVEN,35115.0,1670 E 47TH AVE,,DENVER,CO,80216,{EDB73F88-B359-42D5-8684-6D4119162E3D}
(303) 433-1156,24 HOURS,YES,541103,44512001,1568.0,2,7.0,B,W,B,ESRI,CSG,-105.01770031,39.76925267,7-ELEVEN,45367.0,2500 W 38TH AVE,,DENVER,CO,80211,{5D70068F-4095-48C1-BC61-0438EBB1D4F7}
(303) 561-4974,24 HOURS,YES,541103,44512001,2240.0,2,10.0,C,W,B,ESRI,CSG,-105.00519528,39.78202593,7-ELEVEN,168326.0,1595 W 47TH AVE,,DENVER,CO,80211,{A1EA3121-BDA7-440E-9C1B-A70A3E6086CE}
(303) 422-6681,24 HOURS,YES,541103,44512001,2240.0,2,10.0,C,W,B,ESRI,CSG,-105.07840006,39.80202761,7-ELEVEN,0.0,7355 RALSTON RD,#R-100,ARVADA,CO,80002,{DA285FB4-F7D2-498D-8F4D-1FDCF119771A}
(303) 455-5744,24 HOURS,YES,541103,44512001,1568.0,2,7.0,B,W,B,ESRI,CSG,-105.02534313,39.75425933,7-ELEVEN,47689.0,2609 FEDERAL BLVD,,DENVER,CO,80211,{34342FD2-E7A6-4C63-9AB0-B08A1DF15681}
(303) 561-4974,24 HOURS,YES,541103,44512001,0.0,2,0.0,,W,,ESRI,CSG,-105.00519528,39.78202593,7-ELEVEN,168326.0,1595 W 47TH AVE,,DENVER,CO,80211,{5A12BF50-D0D4-4D31-A16D-466380C88584}
(303) 937-0667,24 HOURS,YES,541103,44512001,0.0,2,0.0,,W,,ESRI,CSG,-105.02510623,39.68997018,7-ELEVEN,101142.0,1499 S FEDERAL BLVD,,DENVER,CO,80219,{CA69883F-1CFA-4304-8E68-5889237B936F}
(303) 329-9952,5AM-MIDNIGHT,NO,541103,44512001,896.0,2,4.0,A,,A,ESRI,CSG,-104.94081582,39.72868021,A-B PETROLEUM,63749.0,785 COLORADO BLVD,,DENVER,CO,80206,{831E702A-5618-4D7E-98DF-94C5E4E04AEC}
(720) 323-4098,8AM-5PM,NO,,,0.0,,0.0,,,,DEH,CS,-104.99129547,39.74090173,1ST CONVENIENCE STORE,184009.0,327 14TH ST,,DENVER,CO,80202,{E219FBAB-3260-4ED2-87EB-5F0367263F12}
(303) 321-4285,M-SA 8-8; SU 9-6,YES,,,0.0,,0.0,,,,DEH,CS,-104.90425038,39.74007358,7-10 MART,126142.0,7200 E COLFAX AVE,,DENVER,CO,80220,{AF2814A6-0E92-41B6-A3DB-92EE56BA8D19}
(303) 341-0346,24 HOURS,YES,541103,44512001,2016.0,2,9.0,B,W,B,ESRI,CS,-104.8633704,39.71098318,7-ELEVEN,0.0,10722 E ALAMEDA AVE,,AURORA,CO,80012,{17BF5002-05FA-4CF6-8BF4-F73F5C50272B}
(303) 222-2237,24 HOURS,YES,541103,44512001,2240.0,2,10.0,C,W,B,ESRI,CS,-104.93976079,39.72919275,7-ELEVEN,183099.0,4040 E 8TH AVE,,DENVER,CO,80220,{63C210D5-B52E-4034-B0E6-80524FB0B5C4}
(303) 377-7237,24 HOURS,YES,541103,44512001,1344.0,2,6.0,B,W,A,ESRI,CS,-104.95822491,39.72541954,7-ELEVEN,64549.0,580 JOSEPHINE ST,,DENVER,CO,80206,{AB41B32E-6BA1-4769-BD24-DB626166BBA9}
(303) 297-7728,24 HOURS,YES,541103,44512001,1792.0,2,8.0,B,W,B,ESRI,CS,-104.99023893,39.74562831,7-ELEVEN,0.0,621 17TH ST,#100,DENVER,CO,80293,{603B4A60-B4A5-4B5C-A7B1-9B0FABDD4AF2}
(303) 295-3100,24 HOURS,YES,541103,44512001,1792.0,2,8.0,B,W,B,ESRI,CS,-104.99232969,39.7476852,7-ELEVEN,0.0,1726 CHAMPA ST,#150,DENVER,CO,80202,{4923309C-E26F-4990-8E6D-C091BD0CEC0E}
(303) 295-0756,24 HOURS,YES,541103,44512001,1792.0,2,8.0,B,W,B,ESRI,CS,-104.99706855,39.75219372,7-ELEVEN,53888.0,1755 BLAKE ST,,DENVER,CO,80202,{68E87D11-2953-435E-8377-0912CEA311F4}
(303) 296-4380,24 HOURS,YES,541103,44512001,1792.0,2,8.0,B,W,B,ESRI,CS,-104.99395185,39.75048679,7-ELEVEN,270131.0,1800 LAWRENCE ST,#A,DENVER,CO,80202,{A133EC72-EC6F-4847-ABD3-129207301F0F}
(303) 825-1345,24 HOURS,YES,541103,44512001,2016.0,2,9.0,B,W,B,ESRI,CS,-104.9975437,39.74630808,7-ELEVEN,260781.0,1438 ARAPAHOE ST,,DENVER,CO,80202,{DF0DF0CC-AFAF-4B31-9C0D-BB0313003AC1}
(303) 455-2310,24 HOURS,YES,541103,44512001,1120.0,2,5.0,B,W,A,ESRI,CS,-105.02952099,39.76937361,7-ELEVEN,46161.0,3190 W 38TH AVE,,DENVER,CO,80211,{C1321D98-3B08-4CDF-8CDB-3B0AA7E3CF4A}
(303) 420-6031,24 HOURS,YES,541103,44512001,2240.0,2,10.0,C,W,B,ESRI,CS,-105.06862609,39.79454106,7-ELEVEN,0.0,5405 MARSHALL ST,,ARVADA,CO,80002,{A4C0E685-1D21-419C-B6BB-651E024702B6}
(303) 433-3293,24 HOURS,YES,541103,44512001,1568.0,2,7.0,B,W,B,ESRI,CS,-105.05286058,39.75304834,7-ELEVEN,51676.0,5195 W BYRON PL,,DENVER,CO,80212,{BDB86886-9A8A-4A39-B16F-BF212BA8EEBD}
(303) 893-1562,24 HOURS,YES,541103,44512001,0.0,2,0.0,,W,,ESRI,CS,-104.99358789,39.74623673,7-ELEVEN,55213.0,820 16TH ST,,DENVER,CO,80202,{57E3AF67-A84B-43DC-A079-C5920909E1F8}
(972) 828-6815,24 HOURS,YES,541103,44512001,0.0,2,0.0,,W,,ESRI,CS,-104.77177542,39.82512993,7-ELEVEN,8.0,7080 N TOWER RD,,DENVER,CO,80249,{4E1486F7-1152-4E00-AB61-77032274D209}
(303) 318-7179,24 HOURS,YES,541103,44512001,0.0,2,0.0,,W,,ESRI,CS,-104.97992973,39.74007608,7-ELEVEN,,599 E COLFAX AVE,,DENVER,CO,80203,{C870CCBB-4FF7-4073-9BC6-64BE158F75EB}
(303) 455-0357,24 HOURS,YES,541103,44512001,0.0,2,0.0,,W,,ESRI,CS,-105.02520529,39.76942083,7-ELEVEN,31856.0,3810 N FEDERAL  BLVD,,DENVER,CO,80211,{C2571EC0-95E5-45C1-BD21-A53EBDE6F2DA}
(303) 399-0208,24 HOURS,YES,541103,44512001,0.0,2,0.0,,W,,ESRI,CS,-104.95914518,39.74003327,7-ELEVEN,62238.0,2340 E COLFAX AVE,,DENVER,CO,80206,{78496086-D025-45B8-9855-827AB67C1046}
(303) 985-4549,24 HOURS,YES,541103,44512001,0.0,2,0.0,,W,,ESRI,CS,-105.05330632,39.67540021,7-ELEVEN,59379.0,2201 S  SHERIDAN BLVD,,DENVER,CO,80222,{594DFB86-DF71-41EE-85D5-B94541FE7F2B}
(303) 320-6501,,YES,541105,44511003,247.0,,1.0,A,,A,ESRI,CS,-104.92224497,39.74002849,A Z GROCERY STORE,351798.0,5602 E COLFAX AVE,,DENVER,CO,80220,{0CC76060-C534-435A-B963-60A9E0F20D8C}
(303) 832-7978,8AM- 10PM,YES,541103,44512001,896.0,,4.0,A,,A,ESRI,CS,-104.97983453,39.73697185,A1 CONVENIENCE STORE,220972.0,1300 PEARL ST,,DENVER,CO,80203,{4BA8B1C9-F57F-4FE7-BBF8-B9B0A8409579}
,,,541103,44512001,224.0,,1.0,A,,A,ESRI,CS,-104.87524636,39.74064947,AGUILA EXPRESS,0.0,1521 DAYTON ST,,AURORA,CO,80010,{FFE28B84-A993-4478-9684-5752226E92E0}
(303) 825-0970,8 AM- 8PM,YES,,,0.0,,0.0,,,,DEH,CS,-105.0020304,39.73371808,AMERICAN WAY MARKET,68783.0,1115 W 11TH AVE,,DENVER,CO,80204,{2B71CB59-2C56-44AC-AB46-55FD50B4EF3A}
(303) 861-3799,M-SA 7AM-7PM; SU 9AM-1PM,NO,541105,44511003,988.0,,4.0,A,,A,ESRI,CS,-104.98393024,39.74007819,ARGONANT GROCERIES,55736.0,233 E COLFAX AVE,,DENVER,CO,80203,{23C3D185-A71D-42AC-8621-9E9B413A0F52}
(303) 742-8863,8AM-4:30PM,NO,541103,44512001,224.0,,1.0,A,,A,ESRI,CS,-105.02403603,39.68220807,B CIGARETTE & CONVENIENCE STR,347418.0,2910 W JEWELL AVE,,DENVER,CO,80219,{9096F3A7-CF71-4EA6-BAF2-13EA7EAC6DA5}
(303) 597-1950,M-SA 6:30AM-5PM; SA 7AM- 10PM; SU 7AM-9PM,YES,541103,44512001,896.0,2,4.0,A,,A,ESRI,CS,-104.87153995,39.67527697,BARN STORE,0.0,2281 S PARKER RD,#A,DENVER,CO,80231,{26D45AD2-7291-48A0-9753-67510C30B240}
(303) 295-2094,8AM-7PM,YES,,,0.0,,0.0,,,,DEH,CS,-104.95954024,39.75699778,BEN'S SUPER MARKET,38546.0,2301 E 28TH AVE,,DENVER,CO,80205,{95E9D8E2-7967-48CF-90D2-2E63F0C51FEF}
(303) 789-1717,8AM-6PM,NO,541105,44511003,247.0,,1.0,A,,A,ESRI,CS,-104.9794268,39.65696028,BOB'S FOOD MARKET,0.0,3296 S WASHINGTON ST,,ENGLEWOOD,CO,80113,{546776C9-3C55-4F7F-90A5-9D1D615D054A}
(303) 295-9015,M-SA 8AM-7PM,YES,541105,44511003,494.0,,2.0,A,,A,ESRI,CS,-104.97817834,39.79656787,BOMARETO'S MARKET,0.0,5500 WASHINGTON ST,,DENVER,CO,80216,{A0588CC6-F406-47B8-B334-A84EC867B8C6}
(303) 534-1379,,,541103,44512001,896.0,,4.0,A,,A,ESRI,CS,-105.01862519,39.72420096,BRYANT CONVENIENCE,75565.0,510 BRYANT ST,,DENVER,CO,80204,{A231C0E0-323D-40AE-A904-133522EC6E3D}
(303) 341-4525,,,541103,44512001,224.0,,1.0,A,,A,ESRI,CS,-104.87605343,39.7402764,BUS STOP GROCERY STORE,0.0,9629 E COLFAX AVE,,AURORA,CO,80010,{E5CFC3F7-2D2A-43F9-ACBE-E28602291447}
(303) 832-3003,M-SA 8AM-10PM; SU 9AM-9PM,YES,541105,44511003,988.0,,4.0,A,,A,ESRI,CS,-104.97900064,39.73998259,CAPITAL HILL MARKET,66746.0,638 E COLFAX AVE,,DENVER,CO,80203,{FD3A8708-351D-404B-9B8D-3CC2CE95A1DC}
,,,542107,44521006,693.0,,3.0,A,,A,ESRI,CS,-104.85205996,39.74743804,CARNICERIA LA CONSETIDA,0.0,11651 MONTVIEW BLVD,,AURORA,CO,80010,{9EB4244D-5B4C-4A31-BB00-AFC65F0352EC}
(303) 297-8634,9:30AM-7:30PM,YES,541103,44512001,448.0,,2.0,A,,A,ESRI,CS,-104.97744853,39.75921078,CHAMPA FOOD STORE,351778.0,2960 CHAMPA ST,,DENVER,CO,80205,{651F5A5B-6EA3-4AAE-87D5-297547483A01}
(303) 863-1700,,,541105,44511003,988.0,,4.0,A,,A,ESRI,CS,-104.98731741,39.73388507,CITY STORE,230167.0,1100 BROADWAY,,DENVER,CO,80203,{F73BE646-EAE1-4B84-97E6-20B447F74FB1}
,,,,,0.0,,0.0,,,,DEH,CS,-104.98865535,39.78563755,CREAGER MERCANTILE,351577.0,4900 ACOMA ST,,DENVER,CO,80216,{2A3B6DD4-A6B7-4CD0-BE6F-FF83DE81B449}
,,,,,0.0,,0.0,,,,DEH,CS,-104.98198029,39.74001369,DENVER DRUG AND LIQUOR,66778.0,400 E COLFAX AVE,,DENVER,CO,80203,{F09CC062-2289-4D81-8CD6-F2ADB0E582CE}
,,,,,0.0,,0.0,,,,DEH,CS,-105.01527007,39.6967334,DIAMOND MART,102784.0,2360 W MISSISSIPPI AVE,,DENVER,CO,80223,{5EBF5759-5656-4327-B432-52B5B0E63A40}
,,,541105,44511003,988.0,,4.0,A,,A,ESRI,CS,-104.95557783,39.77994924,EL RINCONCITO MINI MARKET,222386.0,2630 E 46TH AVE,,DENVER,CO,80216,{46F1EC03-AD3A-4AD1-8DAC-083470460646}
,,,541103,44512001,896.0,,4.0,A,,A,ESRI,CS,-104.93201882,39.6783933,EVAN'S CIGARETTE & CONVENIENCE,261471.0,4770 E EVANS AVE,,DENVER,CO,80222,{AA01078F-BE8F-4DA0-837E-CFF77CD19001}
,,,,,0.0,,0.0,,,,DEH,CS,-105.00644631,39.77989048,EVERYDAY CONVENIENCE,32411.0,4595 N PECOS ST,,DENVER,CO,80211,{97E592C6-C046-4C56-A48A-3D7BDE35B021}
(303) 893-7925,,,,,0.0,,0.0,,,,DEH,CS,-105.04321783,39.74029611,EZ STOP FOOD AND CIGARETTE,183003.0,4330 W COLFAX AVE,,DENVER,CO,80204,{62CA8A19-E862-4911-99CA-75F6CF2558BA}
,,,,,0.0,,0.0,,,,DEH,CS,-104.96800003,39.73998259,FAMILY CIGARETTE GROCERY STORE,64698.0,1608 E COLFAX AVE,,DENVER,CO,80218,{17820D3B-E400-4958-B5CA-4AC6200545FE}
(303) 922-9151,6AM-8PM,YES,541105,44511003,247.0,,1.0,A,,A,ESRI,CS,-105.04340104,39.68951753,FLORIDA AVE MARKET,98259.0,4393 W FLORIDA AVE,,DENVER,CO,80219,{D34F662F-6F08-46A7-8591-14E4171A1F0B}
(303) 458-1930,,,541105,44511003,494.0,,2.0,A,,A,ESRI,CS,-105.00668012,39.77169329,FRIENDLY MARKET,351320.0,1700 W 40TH AVE,,DENVER,CO,80211,{2B2E851A-E806-4CA3-A6ED-89115A71F4E9}
(303) 296-1239,7:30AM- 8:30PM,YES,,,0.0,,0.0,,,,DEH,CS,-104.97329054,39.75897471,GAN'S SUPERMARKET,270304.0,2958 DOWNING ST,,DENVER,CO,80205,{973A6E08-417A-46E4-8AEE-0FB1AF90845A}
,,,541103,44512001,224.0,,1.0,A,,A,ESRI,CS,-104.98734526,39.74285051,GATEWAY NEWSTANDS,,1670 BROADWAY,#4,DENVER,CO,80202,{A6C2BEAE-7604-441A-87DF-948A7E2F70C4}
(303) 296-1239,7:30AM-8:30PM,YES,,,0.0,,0.0,,,,DEH,CS,-104.97329054,39.75897471,GEM STORE,270304.0,2958 DOWNING ST,,DENVER,CO,80205,{8CE37830-9403-4800-9156-E58E7CADE1B4}
(303) 922-3115,,,543102,44523001,222.0,,1.0,A,,A,ESRI,CS,-105.0493373,39.69960478,GLORIA ABBARROTES MARKET,352960.0,4845 MORRISON RD,,DENVER,CO,80219,{FA23F1F2-490B-437C-841A-6861706FEA96}
(303) 259-2197,,YES,541105,44511003,741.0,,3.0,A,,A,ESRI,CS,-104.96601054,39.76821845,GOLDEN GATE MARKET,246423.0,3701 WILLIAMS ST,,DENVER,CO,80205,{8A474DAD-14BB-4570-98C4-2602EEBCA6DB}
(303) 340-4555,M-SA 7AM-10PM; SU 9AM-9PM,YES,541105,44511003,247.0,,1.0,A,,A,ESRI,CS,-104.86596535,39.7146608,GOLF FIRST GROCERY,0.0,10 S HAVANA ST,#110,AURORA,CO,80012,{B8B18DD9-C5A2-4F3A-8C68-4340A9C3C437}
(303) 296-0367,10AM-7PM,YES,541103,44512001,224.0,,1.0,A,,A,ESRI,CS,-104.9859817,39.75275676,HELLO MINIMART,371804.0,2263 CHAMPA ST,,DENVER,CO,80205,{7ACE0E01-199C-4C7E-81C0-DA7B078A4A21}
(303) 355-8776,M-F 9AM-9PM; SA-SU 9AM-8PM,YES,541103,44512001,448.0,,2.0,A,,A,ESRI,CS,-104.92386052,39.76376331,HOLLY FOOD MARKET,15082.0,5538 E 33RD AVE,,DENVER,CO,80207,{1C4B3A37-6028-4845-A572-5C6F43C3A805}
(303) 320-6501,,,541105,44511003,988.0,,4.0,A,,A,ESRI,CS,-104.92224497,39.74002849,HOLLY GROCERY,351798.0,5602 E COLFAX AVE,,DENVER,CO,80220,{6746A8E7-1535-45FF-A8C6-3453CBD362D2}
(720) 379-6824,,,541103,44512001,896.0,,4.0,A,,A,ESRI,CS,-105.01738127,39.67871848,ITCHY'S PIT STOP,222364.0,2555 W EVANS AVE,,DENVER,CO,80219,{34BD742A-3372-4D80-B13D-86C77AFF0918}
(303) 832-2034,M-F 7:30AM-10PM; SA 8AM-10PM; SU 8AM-9PM,,541103,44512001,448.0,,2.0,A,,A,ESRI,CS,-104.98083201,39.73997672,JACK MARKET,365226.0,518 E COLFAX AVE,,DENVER,CO,80203,{682EBF9B-9A7C-48C0-814F-A3DA467A46CB}
(303) 615-5327,10AM-10PM,YES,541105,44511003,247.0,,1.0,A,,A,ESRI,CS,-105.03255592,39.72626148,JERRY'S MARKET,261760.0,601 KNOX CT,,DENVER,CO,80204,{5A3506CF-4CE4-4B9A-9381-3D380F263BC0}
(303) 296-3784,,,,,0.0,,0.0,,,,DEH,CS,-104.95416605,39.77659064,JERRY'S ROUND THE CORNER,222988.0,4301 CLAYTON ST,,DENVER,CO,80216,{B5780A43-9B87-4CBF-A065-E3736D7C476B}
(303) 455-3341,,,,,0.0,,0.0,,,,DEH,CS,-105.01851001,39.76198266,K FOOD MARKET,47767.0,2538 W 32ND AVE,,DENVER,CO,80211,{428F52E4-BDA5-40A2-A0FE-116C2522034C}
(303) 340-0044,M-SA 9:30AM 8:30PM,YES,541105,44511003,494.0,,2.0,A,,A,ESRI,CS,-104.88466443,39.73338982,KAREN ASIAN MINI MARKET,0.0,1120 YOSEMITE ST,,DENVER,CO,80220,{1A7C69E8-71C8-407D-AB1E-729D00575F35}
,,,541105,44511003,741.0,,3.0,A,,A,ESRI,CS,-104.97269121,39.73688777,KELLY'S SUPERETTE,65239.0,1201 E 13TH AVE,,DENVER,CO,80218,{33E713F5-34CD-4638-8EC1-92D3F86B0977}
,,,541105,44511003,247.0,,1.0,A,,A,ESRI,CS,-105.0267574,39.70045124,KENTUCKY SUPERMARKET,169924.0,3145 W KENTUCKY AVE,,DENVER,CO,80219,{93E171FF-BED1-473D-9B98-EB0409A456D0}
